Algae_1,t.p.i_1,Algae_2,t.p.i_2,estimate,SE,df,t.ratio,p.value,label
C. velia,1,SSB01,2,-1.0063789826492633,0.20060017329708862,4512.850966625657,-5.016840046089179,9.909786997608361e-5,***
C. velia,1,M. gaditana,2,-0.503347782697494,0.19718471367265222,4512.850966625657,-2.5526714181967742,0.54237241243945,
C. velia,1,N. oculata,2,2.512561556454097,0.3670761918833054,4512.850966625657,6.844795745437088,4.506191775277557e-8,***
C. velia,1,C. velia,2,-0.02823079092290404,0.18966179451307486,4512.850966625657,-0.14884806397293618,1,
C. velia,1,SSB01,3,-1.3559064342855032,0.2257192947660608,4512.850966625657,-6.007047096663964,4.2790237975154355e-7,***
C. velia,1,M. gaditana,3,0.2741091782516809,0.20248545653217578,4512.850966625657,1.353722795435058,0.9986729740488633,
C. velia,1,N. oculata,3,3.4755894377850285,0.5068192362241368,4512.850966625657,6.857650991463111,4.492166794101138e-8,***
C. velia,1,C. velia,3,0.28643859267295263,0.19178339952367723,4512.850966625657,1.4935525878901184,0.995327013126591,
C. velia,1,SSB01,6,-1.1150352714607656,0.19849774616088728,4512.850966625657,-5.617369935057108,3.8896536188604e-6,***
C. velia,1,M. gaditana,6,1.3478715745700205,0.269128287678788,4512.850966625657,5.00828651716739,1.0350722343610563e-4,***
C. velia,1,N. oculata,6,3.658980576201863,0.5131625638848399,4512.850966625657,7.130256245704984,4.363399108697763e-8,***
C. velia,1,C. velia,6,0.17445812221542525,0.18589777864464874,4512.850966625657,0.9384626512880992,0.9999942302397316,
C. velia,1,SSB01,10,-1.189132340046363,0.2004022418007548,4512.850966625657,-5.9337277335880785,6.432606869388735e-7,***
C. velia,1,M. gaditana,10,2.8706648523351994,0.40301291950021423,4512.850966625657,7.123009495316374,4.364576899895667e-8,***
C. velia,1,N. oculata,10,4.635676850601627,0.6913272925445111,4512.850966625657,6.70547351535837,4.769101646928675e-8,***
C. velia,1,C. velia,10,1.7732899377870734,0.24978813342518075,4512.850966625657,7.099176063614841,4.3689021067550016e-8,***
SSB01,2,M. gaditana,2,0.5030311999517693,0.20902522301748122,4512.850966625657,2.406557412976422,0.6565143259970035,
SSB01,2,N. oculata,2,3.51894053910336,0.37176361392937163,4512.850966625657,9.465532416983377,4.3413544981163454e-8,***
SSB01,2,C. velia,2,0.9781481917263593,0.20246134906836352,4512.850966625657,4.831283581915063,2.5036672819744865e-4,***
SSB01,2,SSB01,3,-0.3495274516362398,0.23599501078227006,4512.850966625657,-1.4810798350254755,0.9957855845205044,
SSB01,2,M. gaditana,3,1.2804881609009442,0.2147994020244495,4512.850966625657,5.9613208827983275,5.511243494904505e-7,***
SSB01,2,N. oculata,3,4.481968420434292,0.5119303952167581,4512.850966625657,8.755034790494452,4.3413525219193616e-8,***
SSB01,2,C. velia,3,1.292817575322216,0.20516667655513812,4512.850966625657,6.301303881455495,1.046130064796813e-7,***
SSB01,2,SSB01,6,-0.10865628881150227,0.21041575314242184,4512.850966625657,-0.5163885649662232,0.9999999998089968,
SSB01,2,M. gaditana,6,2.354250557219284,0.27856101444644,4512.850966625657,8.451471796574552,4.3413568961980786e-8,***
SSB01,2,N. oculata,6,4.665359558851126,0.5182232387842458,4512.850966625657,9.002605845689363,4.341353654346847e-8,***
SSB01,2,C. velia,6,1.1808371048646886,0.19962253789792336,4512.850966625657,5.915349625844891,7.134487474136364e-7,***
SSB01,2,SSB01,10,-0.18275335739709955,0.21220247523720318,4512.850966625657,-0.8612216101287935,0.999998579133488,
SSB01,2,M. gaditana,10,3.8770438349844625,0.4094860751609514,4512.850966625657,9.468072469767288,4.3413544537074245e-8,***
SSB01,2,N. oculata,10,5.64205583325089,0.6951851046731384,4512.850966625657,8.115904376149812,4.341372972227475e-8,***
SSB01,2,C. velia,10,2.7796689204363365,0.2607039875068489,4512.850966625657,10.662164959649159,4.34135515314793e-8,***
M. gaditana,2,N. oculata,2,3.0159093391515905,0.3700594343963809,4512.850966625657,8.14979719155374,4.34136958604725e-8,***
M. gaditana,2,C. velia,2,0.47511699177459,0.19912502226561918,4512.850966625657,2.3860235462563635,0.6720712865131615,
M. gaditana,2,SSB01,3,-0.8525586515880091,0.2339559045570111,4512.850966625657,-3.6440997426515263,0.036057275168177694,*
M. gaditana,2,M. gaditana,3,0.7774569609491749,0.21096507827176686,4512.850966625657,3.6852400753628465,0.03130668501600509,*
M. gaditana,2,N. oculata,3,3.978937220482522,0.510593957515883,4512.850966625657,7.7927620605630645,4.3415065764662586e-8,***
M. gaditana,2,C. velia,3,0.7897863753704466,0.20183459982066537,4512.850966625657,3.9130375865792573,0.013705651008827369,*
M. gaditana,2,SSB01,6,-0.6116874887632715,0.20779008248432956,4512.850966625657,-2.943776148745702,0.263535772869141,
M. gaditana,2,M. gaditana,6,1.8512193572675146,0.2749452281435425,4512.850966625657,6.73304777743237,4.696057265274334e-8,***
M. gaditana,2,N. oculata,6,4.162328358899357,0.5168652243771292,4512.850966625657,8.053024584726803,4.341381620864837e-8,***
M. gaditana,2,C. velia,6,0.6778059049129193,0.19618850747478478,4512.850966625657,3.4548705917447005,0.06682944543373348,
M. gaditana,2,SSB01,10,-0.6857845573488688,0.20959833714284526,4512.850966625657,-3.2718988456549325,0.1150048422192913,
