"Col0","apoapo_rep1","apoapo_rep2","apoapo_rep3","apoapo_rep4","apoapo_rep5","aposym_rep1","aposym_rep2","aposym_rep3","aposym_rep4","aposym_rep5","symsym_rep1","symsym_rep2","symsym_rep3","symsym_rep4","symsym_rep5","symsym_rep6","apona_rep1","apona_rep2","apona_rep3","nana_rep1","nana_rep2","nana_rep3"
"XM_021039079.1",0,60,6.044555,32.008914,0,0,0,23.033865,0,148.282838,0,0,0,0,0,0,42,0,1508,15.022904,114.021775,0
"XM_021061442.1",0,0,0,0,0,0.5,0,0,15.097134,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021036992.1",10.032602,0,0,0,312.898764,0.795616,0,19.457981,0.507045,1023.229834,0,0,0,74.627908,0,0.503112,1051.781499,4.993702,313.041518,0.503532,1.498515,2717.499792
"XM_021044475.1",15,0,0,0,0,413,0,230,0,598,0,0,0,0,0,0,0,0,0,23,0,252
"XM_021054158.1",0,0,0,3586,0,3031.637041,0,582,0,696,38.00086,0,1,584,14617,9411.105425,0,0,563,2237,7857.401962,8482
"XM_021061444.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021052323.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021041958.1",157,0,3.249335,244.697987,0,0,351.999994,4.415169,46.355091,270.94506,445,0,0,0,0,0,0,0,0,0,0,0
"XM_021047808.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021045913.1",230,0,12,12,3,214,137,9,0,0,0,0,0,0,0,0,0,12,0,50,215,0
"XM_021060449.1",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021054970.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992.541948
"XM_021061898.1",14,241.861913,388.055877,0,2089,0,0,280,49,815.969739,0,0,1230,0,0,0,0,0,3502.473687,1856.101302,3143,172
"XM_021047086.1",0.967486,393.448157,36.296385,1346,0,0,0,105.999844,0,0,0,0,0,0,0.054041,0,0,48,0,56.349715,104.047853,0
"XM_021059930.1",0,0,342,0,0,0,2811,1118,2676,0,0,0,0,0,0,58,0,0,2870,610,7534,9507
"XM_021044588.1",48,974,230,0,0,0,1075,209,297,0,0,0,0,5539,0,0,544,365,855,61,0,559
"XM_021047543.1",0,0,0,2799.624731,0,0,0,136.13471,0.202866,0,0,0,0,0,4.39895,0,0,0,0,0,0,0
"XM_021059503.1",0,0,71,0,0,0,0,115,218,0,0,0,0,0,0,0,0,0,0,203,0,0
"XM_021041198.1",0,772.718529,41.271772,0,0,0,0,184.935873,0,0,0,0,0,0,0,0,0,0,406.699022,0,0,0
"XM_021042035.1",1390,0,159,0,0,15,1923,417,527,730,0,0,0,0,0,0,0,2707,0,402,1570,1551
"XM_021047980.1",0,0,0,0,0,0,0.000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021054725.1",0,0,59.455171,0,0,0,22,2.237369,0,72.699599,1,0,0,0,0,0,0,0,90.204225,221.435732,0,275.700559
"XM_021051046.1",117,0,0,1270,1314,127,0,276,590,0,0,0,0,0,0,3708,0,0,0,465,3263,0
"XM_021060254.1",3.045762,2.698571,58.092075,0,34.45739,0,337.546084,19.146947,1.587201,16.722746,0,0,0,0,1.000336,27.307539,0,0,9.176359,278.166321,151.059764,0
"XR_002334864.1",0,0,7,0,0,0,0,3.734534,0,0,0,0,0,0,0,16.26486,0,0,0,0,39.667983,0
"XM_021058510.1",0.000823,0.003436,0,0,437.885602,0,42.737543,39.184837,0.000017,0,0.005537,0.000037,0.000005,0.000549,0,0.000001,0,0.004238,0.000114,0,0,0
"XM_021038244.1",37,0,0,0,0,1,207,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021044457.1",201,3,293,2,1,7,624,498,263,1,3,0,6,33,1,1683,0,19,6,417,0,2933
"XM_021040699.1",56,0,0,4157,0,3290,0,177,0,0,0,0,0,0,0,0,0,0,0,477,0,0
"XM_021051365.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021044150.1",0,0,0,0,0,0,0,0,87.840664,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021058134.1",0,0,8.108769,0,0,13.118176,2382.573336,78.471975,0,0,0,0,0,0,0,0,0,0,0,27.567262,0,0
"XM_021043842.1",184,2207,785,3844,0,614,2102,712,86,0,3,7,0,0,349,0,27,1213,146,1481,3212,430
"XM_021057591.1",1024.927389,7,243,1221,1412,0,7.005973,150,198,0,1,0,0,0,0,0,0,0,0,4,0,0
"XM_021060165.1",0,0,24.472948,0,0,0,0,41.904357,187.963471,0,611,0,0,0,0,243.001579,0,59.746062,0,0,468.535569,86.706973
"XM_021043351.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021051643.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,181,282,0,0
