"row ID","ApoSym_Mean","Sym_Mean","Apo_Mean","Nan_Mean","ApoNa_Mean","Significant_Sym_vs_Apo_suffix","Significant_Sym_vs_ApoSym_suffix","Significant_Nan_vs_Apo_suffix","Significant_Nan_vs_ApoNa_suffix","Significant_Sym_vs_Nan_suffix","Significant_ApoSym_vs_Apo_suffix","Significant_ApoNa_vs_Apo_suffix"
"K17805",5.632160992190126,-2.882163926318147,0.3158729587711706,0.632357549929329,-4.781419615561864,,,0,,,0,-100
"K17806",3.5900297323425665,-2.6724742333602727,-3.2892397836101828,2.8883390153534765,1.9552928701464265,,-100,0,0,0,100,100
"K17807",0.8793072473471863,-1.276472447854489,-0.012086828877016231,-1.2764724478544889,2.384049979446515,,,,,,,
"K17808",0.31576884549871576,-0.8940337907713889,0.7861370451202575,0.8455915546158782,-0.8940337907713889,-100,,0,,,0,-100
"K17809",1.5796300433471226,1.5462732507793087,-0.9223829570234887,-2.093979156049003,-2.093979156049003,,,,,,0,
"K17816",-0.7910539101697212,-2.1311418537979394,-0.9052852504089463,6.9346638306490735,0.1548518112445847,,,0,0,-100,,
"K17817",1.455145087176174,-1.9015159567733853,-0.7060599720734017,1.66006691670049,0.8944898050083268,,,,,,,
"K17820",3.2140957912265455,-2.994405728264705,-1.7534032794257641,1.4909282755467195,2.0633956613147246,,,0,0,,0,0
"K17822",5.273293529813121,-4.87221817954083,2.5275409779007783,-1.9675543011268735,-1.2894001859812998,-100,-100,0,,,0,0
"K17823",1.3893601468601424,-3.5036650655456167,0.5552761338917989,4.466804416671048,-0.7005347534997158,-100,-100,0,0,-100,0,0
"K17824",0.20911556129603426,-2.3217918677485203,-1.8290884642250913,6.303261508363292,1.04027706534884,0,0,0,0,0,0,0
"K17834",1.0603066759256974,-0.4769934295109465,-0.47699342951094653,-0.4769934295109464,0.4587915445082548,,,,,,,
"K17843",0.6631022034047835,-2.0994540509164628,-0.11842416801700795,6.23876122288242,-2.9476498466957928,,,0,100,,0,0
"K17849",0.032445623451657135,-1.137646804506232,0.8072763852909611,1.0697740493190024,-0.19401712154423412,0,0,0,,,0,0
"K17866",3.1656350553551977,-2.418559837967689,-1.7161855912449666,3.1231869240639307,-0.7018163549789369,,0,,,0,0,
"K17867",2.3473237103363886,-2.751950991186225,-0.3748117165183459,4.968332983861934,-2.7519509911862245,0,-100,0,100,-100,0,0
"K17868",2.6115887698622884,-2.775517744348423,0.22589855805129655,1.5339944743095704,-0.712104532135367,0,0,0,,0,0,0
"K17871",0.7253898999712932,-2.622376331217586,0.6025933274769412,5.6538236145723655,-2.6223763312175854,-100,-100,0,100,-100,0,-100
"K17879",1.7180641804449786,-1.7128302248315608,-1.7128302248315608,1.8484603980426404,1.5684767922647844,,-100,,,,100,
"K17885",1.4461360024159882,0.8210566260580136,-2.320875992931194,-1.4928054545253555,1.308592186601338,0,0,,0,0,0,0
"K17886",0.485683164464485,-0.9053974662281634,0.3074799891776353,0.43431237214480656,0.054543970907987016,,,0,,,0,0
"K17887",0.37437029771508423,-5.186807125997419,0.6886771750435854,4.421431287269243,4.180437176794478,-100,-100,0,0,-100,0,0
"K17888",1.9099994296764855,-1.1428339060666857,0.8328019448835595,-1.1428339060666857,-1.1428339060666857,,-100,,,,0,
"K17889",1.5016195204793252,-2.3583092865164264,0.8878899369102654,-2.3583092865164264,3.092412097233292,-100,,-100,,,,
"K17890",0.7852992264661852,-1.0974411230518502,1.3162401296975816,0.7248575829357529,-2.0325409304383295,,0,0,,,0,-100
"K17902",0.8624290688352361,-4.930932207080287,0.6278117784700552,7.123742468154577,0.2543872004971728,0,0,0,0,0,0,0
"K17903",-0.6451666417782127,-0.8959542737489732,1.3038642744431175,-0.5018888513961186,1.1959680111192255,,,0,0,,0,0
"K17906",0.14125984343764036,-3.187495631416268,1.199647888800653,2.7390911127118684,1.401053929723512,-100,-100,0,0,0,0,0
"K17907",3.804224154612389,-5.2849359076405396,-0.9517462538186124,7.356337746107158,-1.5405957654823739,-100,-100,0,,-100,0,0
"K17908",1.330612709216842,-2.494597521573964,-0.731707552185725,3.2195845387427733,0.7714352426866283,0,0,0,0,,0,0
