"Repeat(Date)","Algae","Well_ID","Larvae","Number of Symbionts","Time_post_infection"
"V","SSB01","SV1",13,3,"1"
"V","SSB01","SV1",14,5,"1"
"V","SSB01","SV1",15,2,"1"
"V","SSB01","SV1",16,0,"1"
"V","SSB01","SV1",17,0,"1"
"V","SSB01","SV1",18,0,"1"
"V","SSB01","SV1",19,0,"1"
"V","SSB01","SV1",20,2,"1"
"V","SSB01","SV1",21,3,"1"
"V","SSB01","SV1",22,15,"1"
"V","SSB01","SV1",23,0,"1"
"V","SSB01","SV1",24,0,"1"
"V","SSB01","SV1",25,0,"1"
"V","SSB01","SV1",26,1,"1"
"V","SSB01","SV1",27,2,"1"
"V","SSB01","SV1",28,0,"1"
"V","SSB01","SV1",29,4,"1"
"V","SSB01","SV1",30,2,"1"
"V","SSB01","SV1",31,2,"1"
"V","SSB01","SV1",32,3,"1"
"V","SSB01","SV1",33,4,"1"
"V","SSB01","SV1",34,0,"1"
"V","SSB01","SV1",35,2,"1"
"V","SSB01","SV1",36,1,"1"
"V","SSB01","SV1",37,7,"1"
"V","SSB01","SV1",38,0,"1"
"V","SSB01","SV1",39,0,"1"
"V","SSB01","SV1",40,0,"1"
"V","SSB01","SV1",41,1,"1"
"V","SSB01","SV1",42,1,"1"
"V","SSB01","SV1",43,0,"1"
"V","SSB01","SV1",44,0,"1"
"V","SSB01","SV1",45,2,"1"
"V","SSB01","SV1",46,0,"1"
"V","SSB01","SV1",47,0,"1"
"V","SSB01","SV1",48,0,"1"
"V","SSB01","SV1",49,2,"1"
"V","SSB01","SV1",50,0,"1"
"I","M. gaditana","MI1",1,2,"1"
"I","M. gaditana","MI1",2,5,"1"
"I","M. gaditana","MI1",3,10,"1"
"I","M. gaditana","MI1",4,15,"1"
"I","M. gaditana","MI1",5,15,"1"
"I","M. gaditana","MI1",6,4,"1"
"I","M. gaditana","MI1",7,9,"1"
"I","M. gaditana","MI1",8,1,"1"
"I","M. gaditana","MI1",9,10,"1"
"I","M. gaditana","MI1",10,3,"1"
"I","M. gaditana","MI1",11,3,"1"
"I","M. gaditana","MI1",12,10,"1"
"I","M. gaditana","MI1",13,5,"1"
"I","M. gaditana","MI1",14,9,"1"
"I","M. gaditana","MI1",15,3,"1"
"I","M. gaditana","MI1",16,10,"1"
"I","M. gaditana","MI1",17,4,"1"
"I","M. gaditana","MI1",18,1,"1"
"I","M. gaditana","MI1",19,10,"1"
"I","M. gaditana","MI1",20,14,"1"
"I","M. gaditana","MI1",21,5,"1"
"I","M. gaditana","MI1",22,2,"1"
"I","M. gaditana","MI1",23,3,"1"
"I","M. gaditana","MI1",24,10,"1"
"I","M. gaditana","MI1",25,10,"1"
"I","M. gaditana","MI1",26,1,"1"
"I","M. gaditana","MI1",27,15,"1"
"I","M. gaditana","MI1",28,10,"1"
"I","M. gaditana","MI1",29,7,"1"
"I","M. gaditana","MI1",30,3,"1"
"I","M. gaditana","MI1",31,10,"1"
"I","M. gaditana","MI1",32,5,"1"
"I","M. gaditana","MI1",33,5,"1"
"I","M. gaditana","MI1",34,10,"1"
"I","M. gaditana","MI1",35,6,"1"
"I","M. gaditana","MI1",36,2,"1"
"I","M. gaditana","MI1",37,10,"1"
"I","M. gaditana","MI1",38,10,"1"
"I","M. gaditana","MI1",39,3,"1"
"I","M. gaditana","MI1",40,3,"1"
"I","M. gaditana","MI1",41,7,"1"
"I","M. gaditana","MI1",42,2,"1"
"I","M. gaditana","MI1",43,3,"1"
"I","M. gaditana","MI1",44,2,"1"
"I","M. gaditana","MI1",45,2,"1"
"I","M. gaditana","MI1",46,12,"1"
"I","M. gaditana","MI1",47,3,"1"
"I","M. gaditana","MI1",48,11,"1"
"I","M. gaditana","MI1",49,4,"1"
"I","M. gaditana","MI1",50,6,"1"
"II","M. gaditana","MII1",1,1,"1"
"II","M. gaditana","MII1",2,0,"1"
"II","M. gaditana","MII1",3,0,"1"
"II","M. gaditana","MII1",4,1,"1"
"II","M. gaditana","MII1",5,1,"1"
"II","M. gaditana","MII1",6,2,"1"
"II","M. gaditana","MII1",7,3,"1"
"II","M. gaditana","MII1",8,1,"1"
"II","M. gaditana","MII1",9,2,"1"
"II","M. gaditana","MII1",10,4,"1"
"II","M. gaditana","MII1",11,10,"1"
"II","M. gaditana","MII1",12,0,"1"
"II","M. gaditana","MII1",13,0,"1"
"II","M. gaditana","MII1",14,0,"1"
"II","M. gaditana","MII1",15,2,"1"
"II","M. gaditana","MII1",16,3,"1"
"II","M. gaditana","MII1",17,2,"1"
"II","M. gaditana","MII1",18,0,"1"
